file name;reason
1113_CV_2_15v_x30_BSE;too eroded
511_CV_1_15v_x30_BSE;too eroded
002_CV_1_15v_x30;
003_CC_1_15v_x30;
004_CV_2_15v_x30;
040i_CV_1_15v_x30;
040i_CV_2_15v_x30;
042i_CV_1_15v_x30;
049i_CV_1_15v_x30;
050i_CV_2_15v_x30;
054i_CV_1_15v_x30;
057i_CV_2_15v_x30;
058i_CV_2_15v_x30;
059i_CC_1_15v_x30;
532_CC_1_15V_x30_BSE;
534_CV_1_15V_x30_BSE;is this even stegino?
534_CV_2_15V_x30_BSE;
536_CV_1_15V_x30_BSE;
536_CV_2_15V_x30_BSE;
537_CV_1_15V_x30_BSE;
537_CV_2_15V_x30_BSE;
538_CC_1_15V_x30_BSE;
538_CC_2_15V_x30_BSE;
539_CV_2_15V_x30_BSE;
542_CV_1_15v_x30_BSE;
542_CV_2_15v_x30_BSE;
544_CV_1_15v_x30_BSE;
544_CV_2_15v_x30_BSE;
546_CC_1_15v_x30_BSE;
547_CV_1_15v_x30_BSE;
547_CV_2_15v_x30_BSE;
549_CV_1_15v_x30_BSE;
549_CV_2_15v_x30_BSE;
550_CV_1_15v_x30_BSE;
550_CV_2_15v_x30_BSE;
551_CC_1_15v_x30_BSE;
552_CV_1_15v_x30_BSE;
552_CV_2_15v_x30_BSE;
553_CV_1_15v_x30_BSE;
553_CV_2_15v_x30_BSE;
554_CV_2_15v_x30_BSE;
555_CV_1_15v_x30_BSE;
557_CC_1_15v_x30_BSE;
557_CC_2_15v_x30_BSE;
558_CC_1_15v_x30_BSE;
558_CC_2_15v_x30_BSE;
559_CC_1_15v_x30_BSE;
559_CC_2_15v_x30_BSE;
560_CV_1_15v_x30_BSE;
561_CV_1_15v_x30_BSE;
562_CC_1_15v_x30_BSE;
562_CC_2_15v_x30_BSE;
563_CV_1_15v_x30_BSE;
564_CV_1_15v_x30_BSE;
564_CV_2_15v_x30_BSE;
565_CV_1_15v_x30_BSE;
565_CV_2_15v_x30_BSE.tif;
566_CC_1_15v_x30_BSE;
566_CC_2_15v_x30_BSE;
566_CC_3_15v_x30_BSE;
569_CC_1_15v_x30_BSE;
569_CC_2_15v_x30_BSE;
570_CC_1_15v_x30_BSE;
574_CC_1_15v_x30;
574_CV_1_15v_x30;
575_CV_1_15v_x30;
575_CV_2_15v_x30;
576_CC_1_15v_x30;
576_CC_2_15v_x30;
577_CV_1_15v_x30;
578_CC_1_15v_x30;
578_CC_2_15v_x30;
703i_CV_2_15V_x30_BSE;
705i_CC_2_15V_x30_BSE;
711i_CV_1_15V_x30_BSE;dirty
711i_CV_2_15V_x30_BSE;dirty
714i_CC_1_15V_x30_BSE;
656i_CV_1_15v_x30;
656i_CV_2_15v_x30;
657i_CV_1_15v_x30;
658i_CV_2_15v_x30;
661i_CV_1_15v_x30;
666i_CV_2_15v_x30;
1024_CV_1_15V_x30_BSE;
1026_CV_1_15V_x30_BSE;
1026_CV_2_15V_x30_BSE;
109_CC_1_15v_x30_BSE;
250_CC_2_15v_x30_BSE;
252_CC_1_15v_x30_BSE;
253_P_3_15v_x30_BSE;
291_CV_2_15v_x30_BSE;
037_CV_2_15v_x30_BSE;
047_CC_2_15v_x30_BSE;
067_CV_1_10v_x30_BSE;
067_CV_2_10v_x30_BSE;
070_CV_1_10v_x30_BSE;
070_CV_2_10v_x30_BSE;
071_CV_1_10v_x30_BSE;
071_CV_2_10v_x30_BSE;
076_CV_1_10v_x30_BSE;
076_CV_2_10v_x30_BSE;
084_CV_1_10v_x30_BSE;
084_CV_2_10v_x30_BSE;
086_F_1_10v_x30_BSE;
086_F_2_10v_x30_BSE;
087_CV_1_10v_x30_BSE;
087_CV_2_10v_x30_BSE;
093_CV_1_10v_x30_BSE;
093_CV_2_10v_x30_BSE;
095_CC_1_10v_x30_BSE;
095_CC_2_10v_x30_BSE;
107_CV_1_10v_x30_BSE;
117_CC_1_10v_x30_BSE;
127_CV_2_10v_x30_BSE;
131_CC_2_10v_x30_BSE;
133_CC_1_15v_x30_BSE;
133_CC_2_15v_x30_BSE;
150_CV_1_10v_x30_BSE;
150_CV_2_10v_x30_BSE;
154_CV_2_15v_x35_BSE;
176_CV_1_10v_x30_BSE;
176_CV_2_10v_x30_BSE;
176_CV_3_10v_x30_BSE;
178_CV_2_10v_x30_BSE;
187_CV_1_10v_x30_BSE;
187_CV_2_10v_x30_BSE;
188_CV_2_15v_x30_BSE;
198_CV_1_15v_x30_BSE;
198_CV_2_15v_x30_BSE;
204_CC_3_15v_x30_BSE;
220_CV_1_15v_x30_BSE;
287_CV_2_10v_x30_BSE;
294_CV_2_10v_x30_BSE;
306_CC_1_10v_x30_BSE;
306_CC_2_10v_x30_BSE;
307_CV_1_10v_x30_BSE;
307_CV_2_10v_x30_BSE;
313_CV_1_10v_x30_BSE;
313_CV_2_10v_x30_BSE;
314_CV_1_10v_x30_BSE;
314_CV_2_10v_x30_BSE;
315_CV_1_10v_x30_BSE;
315_CV_2_10v_x30_BSE;
315_CV_3_10v_x30_BSE;
316_CC_1_10v_x30_BSE;
316_CC_2_10v_x30_BSE;
